padjScreen t15 t1 t3
Sro111_g055460 0 0 0 0
Sro1121_g243410 0 0 0 0
Sro1121_g243420 0 0 0 0
Sro1122_g243530 0 0 0 0
Sro1122_g243580 0 0 0 0
Sro1123_g243620 0 0 0 0
Sro1123_g243650 0 0 0 0
Sro1123_g243660 0 0 0 0
Sro1124_g243750 0 0 0 0
Sro1124_g243840 0 0 0 0
Sro1125_g243890 0 0 0 0
Sro1125_g243940 0 0 0 0
Sro1126_g244020 0 0 0 0
Sro1126_g244140 0 0 0 0
Sro1127_g244200 0 0 0 0
Sro1127_g244230 0 0 0 0
Sro1128_g244260 0 0 0 0
Sro1128_g244290 0 0 0 0
Sro1128_g244300 0 0 0 0
Sro1128_g244310 0 0 0 0
Sro1128_g244320 0 0 0 0
Sro1129_g244350 0 0 0 0
Sro1129_g244370 0 0 0 0
Sro112_g055500 0 0 0 0
Sro112_g055510 0 0 0 0
Sro112_g055550 0 0 0 0
Sro112_g055600 0 0 0 0
Sro112_g055610 0 0 0 0
Sro112_g055740 0 0 0 0
Sro112_g055800 0 0 0 0
Sro112_g055830 0 0 0 0
Sro112_g055840 0 0 0 0
Sro1130_g244450 0 0 0 0
Sro1130_g244520 0 0 0 0
Sro1130_g244560 0 0 0 0
Sro1131_g244620 0 0 0 0
Sro1131_g244680 0 0 0 0
Sro1131_g244700 0 0 0 0
Sro1131_g244710 0 0 0 0
Sro1132_g244740 0 0 0 0
Sro1132_g244750 0 0 0 0
Sro1132_g244770 0 0 0 0
Sro1133_g244780 0 0 0 0
Sro1133_g244840 0 0 0 0
Sro1133_g244860 0 0 0 0
Sro1135_g245010 0 0 0 0
Sro1135_g245090 0 0 0 0
Sro1136_g245120 0 0 0 0
Sro1136_g245140 0 0 0 0
Sro1136_g245150 0 0 0 0
Sro1136_g245160 0 0 0 0
Sro1136_g245250 0 0 0 0
Sro1137_g245300 0 0 0 0
Sro1139_g245440 0 0 0 0
Sro113_g055890 0 0 0 0
Sro113_g055970 0 0 0 0
Sro113_g056000 0 0 0 0
Sro113_g056160 0 0 0 0
Sro1141_g245590 0 0 0 0
Sro1141_g245710 0 0 0 0
Sro1144_g246090 0 0 0 0
Sro1145_g246180 0 0 0 0
Sro1146_g246290 0 0 0 0
Sro1146_g246340 0 0 0 0
Sro1147_g246400 0 0 0 0
Sro1148_g246440 0 0 0 0
Sro1149_g246550 0 0 0 0
Sro114_g056190 0 0 0 0
Sro114_g056270 0 0 0 0
Sro114_g056280 0 0 0 0
Sro114_g056300 0 0 0 0
Sro114_g056390 0 0 0 0
Sro114_g056500 0 0 0 0
Sro114_g056510 0 0 0 0
Sro114_g056520 0 0 0 0
Sro114_g056530 0 0 0 0
Sro114_g056560 0 0 0 0
Sro1150_g246650 0 0 0 0
Sro1150_g246660 0 0 0 0
Sro1151_g246720 0 0 0 0
Sro1151_g246740 0 0 0 0
Sro1151_g246770 0 0 0 0
Sro1152_g246820 0 0 0 0
Sro1152_g246850 0 0 0 0
Sro1152_g246860 0 0 0 0
Sro1152_g246870 0 0 0 0
Sro1152_g246880 0 0 0 0
Sro1152_g246910 0 0 0 0
Sro1152_g246950 0 0 0 0
Sro1152_g246980 0 0 0 0
Sro1153_g246990 0 0 0 0
Sro1153_g247020 0 0 0 0
Sro1154_g247090 0 0 0 0
Sro1154_g247170 0 0 0 0
Sro1156_g247240 0 0 0 0
Sro1156_g247250 0 0 0 0
Sro1156_g247280 0 0 0 0
Sro1157_g247320 0 0 0 0
Sro1157_g247360 0 0 0 0
Sro1158_g247430 0 0 0 0
Sro1158_g247460 0 0 0 0
Sro1159_g247610 0 0 0 0
Sro1159_g247620 0 0 0 0
Sro1159_g247630 0 0 0 0
Sro115_g056580 0 0 0 0
Sro115_g056600 0 0 0 0
Sro115_g056610 0 0 0 0
Sro115_g056640 0 0 0 0
Sro115_g056650 0 0 0 0
Sro115_g056820 0 0 0 0
Sro115_g056830 0 0 0 0
Sro1160_g247700 0 0 0 0
Sro1160_g247730 0 0 0 0
Sro1161_g247790 0 0 0 0
Sro1161_g247810 0 0 0 0
Sro1162_g247880 0 0 0 0
Sro1162_g247910 0 0 0 0
Sro1163_g247970 0 0 0 0
Sro1165_g248100 0 0 0 0
Sro1167_g248360 0 0 0 0
Sro1168_g248450 0 0 0 0
Sro1168_g248460 0 0 0 0
Sro1168_g248490 0 0 0 0
Sro1168_g248500 0 0 0 0
Sro1169_g248620 0 0 0 0
Sro116_g056980 0 0 0 0
Sro116_g057200 0 0 0 0
Sro1173_g248960 0 0 0 0
Sro1174_g249040 0 0 0 0
Sro1174_g249050 0 0 0 0
Sro1175_g249210 0 0 0 0
Sro1176_g249240 0 0 0 0
Sro1176_g249260 0 0 0 0
Sro1177_g249420 0 0 0 0
Sro1178_g249500 0 0 0 0
Sro1178_g249510 0 0 0 0
Sro1178_g249550 0 0 0 0
Sro1179_g249590 0 0 0 0
Sro1179_g249660 0 0 0 0
Sro117_g057280 0 0 0 0
Sro117_g057340 0 0 0 0
Sro117_g057360 0 0 0 0
Sro117_g057370 0 0 0 0
Sro117_g057390 0 0 0 0
Sro117_g057410 0 0 0 0
Sro117_g057430 0 0 0 0
Sro117_g057440 0 0 0 0
Sro117_g057460 0 0 0 0
Sro117_g057470 0 0 0 0
Sro117_g057490 0 0 0 0
Sro117_g057500 0 0 0 0
Sro1180_g249730 0 0 0 0
Sro1180_g249770 0 0 0 0
Sro1181_g249810 0 0 0 0
Sro1181_g249830 0 0 0 0
Sro1181_g249840 0 0 0 0
Sro1181_g249850 0 0 0 0
Sro1181_g249860 0 0 0 0
Sro1182_g249890 0 0 0 0
Sro1182_g249970 0 0 0 0
Sro1183_g250040 0 0 0 0
Sro1184_g250120 0 0 0 0
Sro1184_g250160 0 0 0 0
Sro1184_g250170 0 0 0 0
Sro1185_g250200 0 0 0 0
Sro1186_g250330 0 0 0 0
Sro1186_g250360 0 0 0 0
Sro1187_g250470 0 0 0 0
Sro1187_g250490 0 0 0 0
Sro1187_g250500 0 0 0 0
Sro1187_g250530 0 0 0 0
Sro1188_g250560 0 0 0 0
Sro1189_g250670 0 0 0 0
Sro1189_g250720 0 0 0 0
Sro118_g057560 0 0 0 0
Sro118_g057580 0 0 0 0
Sro118_g057640 0 0 0 0
Sro118_g057680 0 0 0 0
Sro118_g057760 0 0 0 0
Sro118_g057780 0 0 0 0
Sro118_g057870 0 0 0 0
Sro118_g057880 0 0 0 0
Sro118_g057890 0 0 0 0
Sro118_g057920 0 0 0 0
Sro1190_g250790 0 0 0 0
Sro1192_g251050 0 0 0 0
Sro1192_g251070 0 0 0 0
Sro1192_g251100 0 0 0 0
Sro1192_g251110 0 0 0 0
Sro1192_g251120 0 0 0 0
Sro1193_g251160 0 0 0 0
Sro1193_g251170 0 0 0 0
Sro1194_g251260 0 0 0 0
Sro1194_g251280 0 0 0 0
Sro1194_g251300 0 0 0 0
Sro1194_g251310 0 0 0 0
Sro1196_g251440 0 0 0 0
Sro1197_g251530 0 0 0 0
Sro1198_g251620 0 0 0 0
Sro1198_g251640 0 0 0 0
Sro1199_g251690 0 0 0 0
Sro1199_g251770 0 0 0 0
Sro1199_g251780 0 0 0 0
Sro119_g058000 0 0 0 0
Sro119_g058090 0 0 0 0
Sro11_g008500 0 0 0 0
Sro11_g008540 0 0 0 0
Sro11_g008560 0 0 0 0
Sro11_g008640 0 0 0 0
Sro11_g008650 0 0 0 0
Sro11_g008800 0 0 0 0
Sro11_g008890 0 0 0 0
Sro11_g008900 0 0 0 0
Sro11_g008920 0 0 0 0
Sro1200_g251820 0 0 0 0
Sro1200_g251860 0 0 0 0
Sro1200_g251880 0 0 0 0
Sro1202_g252010 1 0 0 1
Sro1202_g252030 0 0 0 0
Sro1203_g252070 0 0 0 0
Sro1203_g252080 0 0 0 0
Sro1203_g252120 0 0 0 0
Sro1204_g252180 0 0 0 0
Sro1206_g252340 0 0 0 0
Sro1206_g252390 0 0 0 0
Sro1207_g252410 0 0 0 0
Sro1207_g252430 0 0 0 0
Sro1207_g252490 0 0 0 0
Sro1207_g252510 0 0 0 0
Sro1207_g252540 0 0 0 0
Sro1208_g252550 0 0 0 0
Sro1208_g252560 0 0 0 0
Sro1208_g252580 0 0 0 0
Sro1209_g252690 0 0 0 0
Sro120_g058460 0 0 0 0
Sro120_g058480 0 0 0 0
Sro120_g058540 0 0 0 0
Sro120_g058580 0 0 0 0
Sro120_g058620 0 0 0 0
Sro1210_g252760 0 0 0 0
Sro1210_g252800 0 0 0 0
Sro1210_g252810 0 0 0 0
Sro1215_g253100 0 0 0 0
Sro1215_g253160 0 0 0 0
Sro1215_g253170 0 0 0 0
Sro1218_g253320 0 0 0 0
Sro1218_g253370 0 0 0 0
Sro1219_g253410 0 0 0 0
Sro1219_g253420 0 0 0 0
Sro121_g058730 0 0 0 0
Sro121_g058770 0 0 0 0
Sro121_g058930 0 0 0 0
Sro121_g058970 0 0 0 0
Sro121_g058990 0 0 0 0
Sro121_g059030 0 0 0 0
Sro1220_g253480 0 0 0 0
Sro1220_g253500 0 0 0 0
Sro1220_g253510 0 0 0 0
Sro1220_g253560 0 0 0 0
Sro1221_g253610 0 0 0 0
Sro1221_g253680 0 0 0 0
Sro1221_g253700 0 0 0 0
Sro1221_g253710 0 0 0 0
Sro1221_g253720 0 0 0 0
Sro1222_g253800 0 0 0 0
Sro1223_g253870 0 0 0 0
Sro1223_g253890 0 0 0 0
Sro1223_g253900 0 0 0 0
Sro1223_g253940 0 0 0 0
Sro1224_g253970 0 0 0 0
Sro1224_g253980 0 0 0 0
Sro1224_g254010 0 0 0 0
Sro1226_g254140 0 0 0 0
Sro1226_g254160 0 0 0 0
Sro1226_g254180 0 0 0 0
Sro1226_g254220 0 0 0 0
Sro1226_g254250 0 0 0 0
Sro1227_g254310 0 0 0 0
Sro1228_g254360 0 0 0 0
Sro1228_g254370 0 0 0 0
Sro1228_g254400 0 0 0 0
Sro1228_g254420 0 0 0 0
Sro1229_g254440 0 0 0 0
Sro122_g059060 0 0 0 0
Sro122_g059070 0 0 0 0
Sro122_g059130 0 0 0 0
Sro122_g059220 0 0 0 0
Sro122_g059250 0 0 0 0
Sro1230_g254580 0 0 0 0
Sro1231_g254590 0 0 0 0
Sro1231_g254630 0 0 0 0
Sro1231_g254640 0 0 0 0
Sro1233_g254800 0 0 0 0
Sro1233_g254810 0 0 0 0
Sro1235_g254990 0 0 0 0
Sro1235_g255010 0 0 0 0
Sro1235_g255060 0 0 0 0
Sro1235_g255070 0 0 0 0
Sro1236_g255110 0 0 0 0
Sro1236_g255120 0 0 0 0
Sro1236_g255130 0 0 0 0
Sro1239_g255280 0 0 0 0
Sro1239_g255290 0 0 0 0
Sro123_g059380 0 0 0 0
Sro123_g059470 0 0 0 0
Sro123_g059530 0 0 0 0
Sro123_g059560 0 0 0 0
Sro123_g059640 0 0 0 0
Sro123_g059650 0 0 0 0
Sro123_g059670 0 0 0 0
Sro1240_g255320 0 0 0 0
Sro1240_g255340 0 0 0 0
Sro1242_g255530 0 0 0 0
Sro1243_g255570 0 0 0 0
Sro1245_g255670 0 0 0 0
Sro1245_g255680 0 0 0 0
Sro1247_g255840 0 0 0 0
Sro1247_g255890 0 0 0 0
Sro124_g059820 0 0 0 0
Sro124_g059950 0 0 0 0
Sro124_g059990 0 0 0 0
Sro1250_g256050 0 0 0 0
Sro1251_g256130 0 0 0 0
Sro1251_g256140 0 0 0 0
Sro1251_g256150 0 0 0 0
Sro1251_g256180 0 0 0 0
Sro1251_g256210 0 0 0 0
Sro1253_g256370 0 0 0 0
Sro1253_g256380 0 0 0 0
Sro1254_g256400 0 0 0 0
Sro1254_g256410 0 0 0 0
Sro1256_g256600 0 0 0 0
Sro1257_g256750 0 0 0 0
Sro1258_g256790 0 0 0 0
Sro1258_g256800 0 0 0 0
Sro1258_g256880 0 0 0 0
Sro1259_g256970 0 0 0 0
Sro125_g060070 0 0 0 0
Sro125_g060090 0 0 0 0
Sro125_g060130 0 0 0 0
Sro125_g060190 0 0 0 0
Sro125_g060280 0 0 0 0
Sro125_g060290 0 0 0 0
Sro125_g060320 0 0 0 0
Sro125_g060340 0 0 0 0
Sro125_g060380 0 0 0 0
Sro1261_g256980 0 0 0 0
Sro1261_g256990 0 0 0 0
Sro1261_g257050 0 0 0 0
Sro1261_g257070 0 0 0 0
Sro1262_g257100 0 0 0 0
Sro1262_g257150 0 0 0 0
Sro1262_g257160 0 0 0 0
Sro1263_g257170 0 0 0 0
Sro1263_g257180 0 0 0 0
Sro1263_g257220 0 0 0 0
Sro1263_g257250 0 0 0 0
Sro1264_g257320 0 0 0 0
Sro1264_g257390 0 0 0 0
