padjScreen t15 t1 t3
Sro1368_g266830 0 0 0 0
Sro136_g063950 0 0 0 0
Sro136_g063990 0 0 0 0
Sro136_g064000 0 0 0 0
Sro136_g064030 0 0 0 0
Sro136_g064090 0 0 0 0
Sro136_g064100 0 0 0 0
Sro136_g064250 0 0 0 0
Sro1373_g267230 0 0 0 0
Sro1373_g267240 0 0 0 0
Sro1375_g267300 0 0 0 0
Sro137_g064320 0 0 0 0
Sro137_g064350 0 0 0 0
Sro1380_g267740 0 0 0 0
Sro1385_g268180 0 0 0 0
Sro1385_g268200 0 0 0 0
Sro1386_g268230 0 0 0 0
Sro1386_g268250 0 0 0 0
Sro1386_g268310 0 0 0 0
Sro1387_g268370 0 0 0 0
Sro138_g064620 0 0 0 0
Sro1392_g268890 0 0 0 0
Sro1395_g269080 0 0 0 0
Sro1395_g269100 0 0 0 0
Sro1395_g269110 0 0 0 0
Sro1398_g269230 0 0 0 0
Sro1399_g269360 0 0 0 0
Sro139_g065080 0 0 0 0
Sro139_g065190 0 0 0 0
Sro139_g065250 0 0 0 0
Sro139_g065280 0 0 0 0
Sro13_g009670 0 0 0 0
Sro13_g010050 0 0 0 0
Sro13_g010190 0 0 0 0
Sro13_g010200 0 0 0 0
Sro13_g010250 0 0 0 0
Sro1401_g269480 0 0 0 0
Sro1407_g270040 0 0 0 0
Sro1409_g270170 0 0 0 0
Sro140_g065540 0 0 0 0
Sro140_g065550 0 0 0 0
Sro1410_g270270 0 0 0 0
Sro1410_g270320 0 0 0 0
Sro1412_g270460 0 0 0 0
Sro1412_g270510 0 0 0 0
Sro1412_g270520 0 0 0 0
Sro1414_g270630 0 0 0 0
Sro1418_g270950 0 0 0 0
Sro1418_g270980 0 0 0 0
Sro141_g065720 0 0 0 0
Sro1420_g271110 0 0 0 0
Sro1421_g271230 0 0 0 0
Sro1422_g271300 0 0 0 0
Sro1422_g271320 0 0 0 0
Sro1423_g271380 0 0 0 0
Sro1425_g271540 0 0 0 0
Sro1425_g271560 0 0 0 0
Sro1428_g271840 0 0 0 0
Sro1428_g271850 0 0 0 0
Sro142_g066260 0 0 0 0
Sro142_g066330 0 0 0 0
Sro142_g066450 0 0 0 0
Sro1431_g272030 0 0 0 0
Sro1431_g272060 0 0 0 0
Sro1433_g272180 0 0 0 0
Sro1437_g272570 0 0 0 0
Sro1438_g272740 0 0 0 0
Sro143_g066650 0 0 0 0
Sro143_g066820 0 0 0 0
Sro1440_g272860 0 0 0 0
Sro1441_g272990 0 0 0 0
Sro1442_g273060 0 0 0 0
Sro1443_g273140 0 0 0 0
Sro1447_g273520 0 0 0 0
Sro144_g066980 0 0 0 0
Sro144_g067040 0 0 0 0
Sro144_g067080 0 0 0 0
Sro1450_g273790 0 0 0 0
Sro1450_g273820 0 0 0 0
Sro1452_g273920 0 0 0 0
Sro1452_g273930 0 0 0 0
Sro1452_g273940 0 0 0 0
Sro1453_g273990 0 0 0 0
Sro1455_g274130 0 0 0 0
Sro1456_g274270 0 0 0 0
Sro1458_g274400 0 0 0 0
Sro1458_g274470 0 0 0 0
Sro145_g067160 0 0 0 0
Sro145_g067220 0 0 0 0
Sro1461_g274720 0 0 0 0
Sro1469_g275310 0 0 0 0
Sro146_g067540 0 0 0 0
Sro1471_g275420 0 0 0 0
Sro1471_g275430 0 0 0 0
Sro1473_g275650 0 0 0 0
Sro1474_g275740 0 0 0 0
Sro1476_g275920 0 0 0 0
Sro1478_g276040 0 0 0 0
Sro1478_g276060 0 0 0 0
Sro147_g067930 0 0 0 0
Sro147_g068020 0 0 0 0
Sro1480_g276160 0 0 0 0
Sro1483_g276360 0 0 0 0
Sro1484_g276460 0 0 0 0
Sro1484_g276480 0 0 0 0
Sro1486_g276650 0 0 0 0
Sro1489_g276970 0 0 0 0
Sro148_g068140 0 0 0 0
Sro1490_g277040 0 0 0 0
Sro1492_g277160 0 0 0 0
Sro1492_g277200 0 0 0 0
Sro1497_g277560 0 0 0 0
Sro1499_g277730 0 0 0 0
Sro1499_g277760 0 0 0 0
Sro1499_g277780 0 0 0 0
Sro149_g068460 0 0 0 0
Sro149_g068530 0 0 0 0
Sro14_g010400 0 0 0 0
Sro14_g010510 0 0 0 0
Sro14_g010610 0 0 0 0
Sro14_g010690 0 0 0 0
Sro14_g010790 0 0 0 0
Sro14_g010810 0 0 0 0
Sro1504_g278050 0 0 0 0
Sro1506_g278280 0 0 0 0
Sro1508_g278450 0 0 0 0
Sro1510_g278660 0 0 0 0
Sro1514_g278930 0 0 0 0
Sro1515_g279040 0 0 0 0
Sro1515_g279060 0 0 0 0
Sro151_g069030 0 0 0 0
Sro151_g069110 0 0 0 0
Sro151_g069120 0 0 0 0
Sro151_g069240 0 0 0 0
Sro1520_g279360 0 0 0 0
Sro1521_g279430 0 0 0 0
