padjScreen t15 t1 t3
Sro414_g138340 1.28270035787287e-07 1 0.0479091890985927 2.44905740212162e-08
Sro976_g226940 1.308197251669e-07 1 1 6.03104515506044e-10
Sro380_g130690 1.31463299057757e-07 1 1 4.74748247754094e-10
Sro637_g179400 1.31463299057757e-07 0.513009028028573 0.160643434348951 1.10600216121687e-08
Sro333_g119580 1.34193402861629e-07 1 1 6.3757317833684e-10
Sro1132_g244760 1.35873553406728e-07 1 1 3.92847492421901e-10
Sro251_g099210 1.35904477383023e-07 0.313504968318703 1 2.61683798062316e-09
Sro24_g016470 1.38907438654335e-07 1 1 7.48021950214972e-10
Sro968_g226020 1.40240565820172e-07 1 1 1.44857577866571e-09
Sro774_g200710 1.4617565941635e-07 1 1 4.64487281717453e-10
Sro1230_g254550 1.51410255999724e-07 0.0897674938981142 1 9.32890245771582e-09
Sro2197_g318670 1.59072583217423e-07 0.402119731618099 0.402119731618099 1.22867391229123e-08
Sro153_g069690 1.61416363995088e-07 0.251424768326596 1 2.52222584191052e-09
Sro524_g159940 1.65084894984207e-07 1 1 3.66981373809027e-10
Sro533_g161680 1.65142453811576e-07 0.54733248860836 1 1.79188191121275e-09
Sro628_g178100 1.69879409798833e-07 1 1 7.65325921968448e-10
Sro35_g022560 1.74497780601759e-07 0.249939055962758 1 3.40580108525322e-09
Sro188_g081220 1.8560125300627e-07 1 1 5.51627872345542e-10
Sro282_g107560 1.8560125300627e-07 1 1 1.03370121522803e-09
Sro359_g126090 1.85897455503402e-07 1 0.69332550956004 6.97339705175963e-09
Sro327_g118480 1.87371358002431e-07 1 0.250833159670632 4.95432924484336e-09
Sro1595_g284660 1.8805535422961e-07 1 1 6.70882358227443e-10
Sro147_g067990 1.99003443412412e-07 0.0499371067487216 1 2.18486008813825e-08
Sro326_g118250 1.99003443412412e-07 0.00540141502861515 1 2.58606106705798e-07
Sro2012_g310910 2.26192903170815e-07 1 1 1.0137069123731e-09
Sro153_g069630 2.30510782391921e-07 1 1 8.32352955949142e-10
Sro958_g224650 2.35328596816458e-07 1 1 1.15656540123317e-09
Sro1043_g234820 2.39680811497617e-07 0.00184938454604085 1 8.08485295871916e-07
Sro215_g088940 2.41241727091794e-07 1 1 1.53415671965114e-09
Sro41_g025140 2.41241727091794e-07 1 1 6.00591034291763e-10
Sro66_g037380 2.41241727091794e-07 0.847935485238589 1 1.99005424012543e-09
Sro1259_g256900 2.47071698345051e-07 1 1 7.54406509087067e-10
Sro126_g060520 2.47940131798182e-07 1 1 9.76138180994495e-10
Sro1409_g270210 2.47940131798182e-07 1 1 8.8034055375302e-10
Sro381_g130880 2.48822301337373e-07 0.0277294943432509 1 4.2559891736813e-08
Sro911_g219220 2.55340622855369e-07 1 1 1.8128948106491e-09
Sro7_g006170 2.61893396443705e-07 1 1 9.25285712611591e-10
Sro247_g098010 2.73781242753984e-07 1 0.054013728428463 8.47906516103026e-08
Sro393_g133630 2.84175147116499e-07 1 1 1.94147796148524e-09
Sro336_g120280 2.86526221868537e-07 1 1 6.76682969976697e-09
Sro850_g210650 2.86526221868537e-07 1 1 8.08072030689836e-10
Sro2055_g312780 2.91605609144428e-07 1 1 5.07330464425967e-09
Sro142_g066390 3.01297792808981e-07 1 1 1.74720017475073e-09
Sro6_g004940 3.016822304267e-07 1 1 1.6324099925737e-09
Sro1676_g290460 3.01895316834174e-07 1 1 7.67315233628816e-10
Sro271_g104560 3.09346069940875e-07 1 1 7.7903011579823e-10
Sro1949_g307290 3.12226700632111e-07 1 0.00563662786927256 3.90557044523213e-07
Sro216_g089330 3.15777684784245e-07 1 1 2.26480824188361e-09
Sro50_g029120 3.17357553217156e-07 0.00033873724079811 0.00558041326811285 0.00558041326811285
Sro34_g021990 3.17898171859559e-07 0.53800373020135 1 9.19360071290075e-09
Sro274_g105450 3.22294107915448e-07 1 1 1.47948512460561e-08
Sro1820_g299730 3.26687883553399e-07 1 1 3.2173843176042e-09
Sro437_g142810 3.29218453094418e-07 0.0825557200165834 1 5.81721892355127e-08
Sro1_g000850 3.39107199767401e-07 1 1 1.61741633173989e-09
Sro39_g024220 3.41842420368435e-07 1 1 1.6562569492583e-09
Sro256_g100760 3.50048858184039e-07 1 1 3.80684921711586e-09
Sro1492_g277170 3.74912085244206e-07 0.299632115329304 0.00160549630320883 7.07320549243144e-06
Sro89_g047110 3.74912085244206e-07 1 0.0695897402282407 2.61577983188525e-08
Sro369_g128100 3.94321065906928e-07 1 0.0349554038381723 7.06861650009707e-08
Sro236_g094980 4.01369523597113e-07 0.00087456043034312 0.47964997173893 1.87730449065486e-05
Sro677_g185850 4.03995176349135e-07 1 1 4.40011503208352e-09
Sro854_g211260 4.24467014065168e-07 0.950582130264016 1 1.0684878048411e-08
Sro3213_g345370 4.28188928260121e-07 0.606503262985495 1 7.62486925481048e-09
Sro524_g160030 4.30444318594706e-07 1 0.000667014032275549 9.76919711085009e-06
Sro127_g060920 4.50948783949153e-07 0.948676292717262 0.0107180275532563 6.94424746083155e-07
Sro872_g213970 4.51564442785331e-07 1 1 1.75436483221591e-09
Sro534_g161800 4.53828808802928e-07 1 1 1.60502559904815e-09
Sro2_g001430 4.77521101509513e-07 0.423025202458548 0.423025202458548 4.43609027159033e-08
Sro166_g074080 4.82068506060169e-07 1 1 1.47298248190875e-09
Sro78_g042300 4.95643795018015e-07 1 1 3.01759490173279e-09
Sro1142_g245770 5.03163111714914e-07 1 1 5.69099515474834e-09
Sro1437_g272530 5.05610027051864e-07 1 1 2.03269099239253e-09
Sro1707_g292600 5.05610027051864e-07 0.243879779426743 1 2.97609071292955e-08
Sro264_g102490 5.16923787407797e-07 1 1 3.82538905154257e-09
Sro736_g194980 5.16923787407797e-07 1 1 1.66968583675761e-09
Sro64_g036190 5.3202421491017e-07 0.00247040906907339 1 5.02363838480081e-06
Sro242_g096670 5.59796263602497e-07 0.301216598523419 7.76154944455862e-05 0.000427785272168004
Sro999_g229600 5.68751682923634e-07 1 0.259005419557088 3.37529804429803e-08
Sro251_g099300 5.72017052068445e-07 0.00269511429333218 1 5.76839422046402e-07
Sro536_g162110 5.78735811035115e-07 1 1 6.60038564529e-09
Sro1953_g307560 6.03413477715132e-07 1 1 4.54686489550044e-09
Sro3711_g350560 6.03413477715132e-07 1 1 2.43581534814354e-09
Sro8_g006530 6.03413477715132e-07 0.0199006178862237 1 1.79601163481103e-07
Sro88_g046510 6.1341171001625e-07 1 1 4.62227571504094e-09
Sro47_g027720 6.33760593011379e-07 0.053406192250926 1 1.50329720659271e-07
Sro1159_g247550 6.47859476666386e-07 0.0869664767660878 1 3.54108118291298e-08
Sro2072_g313440 6.96313274655026e-07 1 1 2.36991413558237e-09
Sro125_g060050 7.08564194772013e-07 0.259100189287326 2.48671953883393e-06 0.0172749583952314
Sro2042_g312280 7.1978577986335e-07 0.561673364500935 1 2.81823794565589e-08
Sro511_g157460 7.1978577986335e-07 1 1 1.06062898523046e-08
Sro1081_g239080 7.29764188727831e-07 0.48850601740029 1 1.3022730683238e-08
