padjScreen t15 t1 t3 t6 t9
Sro1027_g233050 0.56195737148095 NA NA NA NA NA
Sro1027_g233060 2.62683103848047e-06 1 1 1 7.08872733372142e-06 0.148105554686372
Sro1027_g233080 0.00381104521566189 1 1 1 0.00216830309802378 1
Sro1027_g233090 0.520533958160934 NA NA NA NA NA
Sro1027_g233100 0.946079239911924 NA NA NA NA NA
Sro1028_g233130 0.232202390904055 NA NA NA NA NA
Sro1028_g233140 0.212121522740163 NA NA NA NA NA
Sro1028_g233150 0.316613338191243 NA NA NA NA NA
Sro1028_g233160 0.603898640938072 NA NA NA NA NA
Sro1028_g233170 0.381350967406215 NA NA NA NA NA
Sro1028_g233180 0.00302053306075733 1 1 1 0.000990000425315896 0.252471626239683
Sro1028_g233190 0.0182309718602208 1 1 1 0.00722188128832493 0.776936040336878
Sro1028_g233200 0.953753818638872 NA NA NA NA NA
Sro1028_g233210 0.335084597269626 NA NA NA NA NA
Sro1029_g233220 0.0432216450784531 0.0197072753760315 1 1 1 1
Sro1029_g233230 0.370616956123828 NA NA NA NA NA
Sro1029_g233240 0.611336499370072 NA NA NA NA NA
Sro1029_g233260 0.0878061168723707 NA NA NA NA NA
Sro1029_g233270 0.205843200184009 NA NA NA NA NA
Sro1029_g233280 0.972229832025364 NA NA NA NA NA
Sro1029_g233290 0.277095424992825 NA NA NA NA NA
Sro1029_g233300 0.977884679020323 NA NA NA NA NA
Sro1029_g233310 0.535658349026871 NA NA NA NA NA
Sro1029_g233320 0.858548780454227 NA NA NA NA NA
Sro102_g051850 0.392716924515751 NA NA NA NA NA
Sro102_g051860 0.495722197360264 NA NA NA NA NA
Sro102_g051870 0.252914710787649 NA NA NA NA NA
Sro102_g051880 0.212716074348326 NA NA NA NA NA
Sro102_g051890 0.0593992213230026 NA NA NA NA NA
Sro102_g051900 0.557198502036947 NA NA NA NA NA
Sro102_g051910 0.175839041416869 NA NA NA NA NA
Sro102_g051920 0.474262596595621 NA NA NA NA NA
Sro102_g051930 0.27588716764274 NA NA NA NA NA
Sro102_g051940 0.768486345074186 NA NA NA NA NA
Sro102_g051950 0.576878122376144 NA NA NA NA NA
Sro102_g051960 0.36677647902401 NA NA NA NA NA
Sro102_g051970 0.197886253393445 NA NA NA NA NA
Sro102_g051980 0.564210221737491 NA NA NA NA NA
Sro102_g051990 0.300362024375236 NA NA NA NA NA
Sro102_g052000 0.810564176655149 NA NA NA NA NA
Sro102_g052010 0.996223129574901 NA NA NA NA NA
Sro102_g052020 0.767984060867244 NA NA NA NA NA
Sro102_g052030 0.328005536987027 NA NA NA NA NA
